date,timestamp,process_id,type,component,message
2018-09-28,20:55:05.815,22717,INFO,cinder.api.openstack.wsgi,http://10.0.20.22:8776/v2/6b182c59b3854d5a889683159f8efde8/volumes/detail returned with HTTP 200
2018-09-28,20:55:05.818,22717,INFO,eventlet.wsgi.server,"10.0.20.22 ""GET /v2/6b182c59b3854d5a889683159f8efde8/volumes/detail HTTP/1.1"" status: 200  len: 1317 time: 3.2708349"
2018-09-28,20:55:12.678,22721,DEBUG,eventlet.wsgi.server,"(22721) accepted ('10.0.20.22', 51408) server /usr/lib/python2.7/site-packages/eventlet/wsgi.py:883"
2018-09-28,20:55:12.697,22721,WARNING,keystonemiddleware.auth_token,Using the in-process token cache is deprecated as of the 4.2.0 release and may be removed in the 5.0.0 release or the 'O' development cycle. The in-process cache causes inconsistent results and high memory usage. When the feature is removed the auth_token middleware will not cache tokens by default which may result in performance issues. It is recommended to use  memcache for the auth_token token cache by setting the memcached_servers option.
2018-09-28,20:55:14.022,22721,DEBUG,oslo_policy._cache_handler,Reloading cached file /etc/cinder/policy.json read_cached_file /usr/lib/python2.7/site-packages/oslo_policy/_cache_handler.py:40
2018-09-28,20:55:14.033,22721,DEBUG,oslo_policy.policy,Reloaded policy file: /etc/cinder/policy.json _load_policy_file /usr/lib/python2.7/site-packages/oslo_policy/policy.py:685
2018-09-28,20:55:14.478,22721,INFO,cinder.api.openstack.wsgi,GET http://10.0.20.22:8776/v2/6b182c59b3854d5a889683159f8efde8/volumes/tempest-VOLUME_SAMPLE-1538182182
2018-09-28,20:55:14.479,22721,DEBUG,cinder.api.openstack.wsgi,Empty body provided in request get_body /usr/lib/python2.7/site-packages/cinder/api/openstack/wsgi.py:721
2018-09-28,20:55:14.479,22721,DEBUG,cinder.api.openstack.wsgi,Calling method '<bound method VolumeController.show of <cinder.api.v2.volumes.VolumeController object at 0x7f9056cc1190>>' _process_stack /usr/lib/python2.7/site-packages/cinder/api/openstack/wsgi.py:874
2018-09-28,20:55:14.528,22721,DEBUG,oslo_db.sqlalchemy.engines,"MySQL server mode set to STRICT_TRANS_TABLES,STRICT_ALL_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,TRADITIONAL,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION _check_effective_sql_mode /usr/lib/python2.7/site-packages/oslo_db/sqlalchemy/engines.py:285"
2018-09-28,20:55:14.587,22721,INFO,cinder.api.openstack.wsgi,http://10.0.20.22:8776/v2/6b182c59b3854d5a889683159f8efde8/volumes/tempest-VOLUME_SAMPLE-1538182182 returned with HTTP 404
2018-09-28,20:55:14.591,22721,INFO,eventlet.wsgi.server,"10.0.20.22 ""GET /v2/6b182c59b3854d5a889683159f8efde8/volumes/tempest-VOLUME_SAMPLE-1538182182 HTTP/1.1"" status: 404  len: 375 time: 1.9036751"
2018-09-28,20:55:14.604,22721,INFO,cinder.api.openstack.wsgi,GET http://10.0.20.22:8776/v2/6b182c59b3854d5a889683159f8efde8/volumes/detail?all_tenants=1&name=tempest-VOLUME_SAMPLE-1538182182
